type,label,website,hostname,level
government_agency,Agence nationale de l'aviation civile (Republic of the Congo),https://anaccongo.cg/,anaccongo.cg,
government_agency,National Assembly,http://www.assemblee-nationale.cg/,assemblee-nationale.cg,central
government_agency,Aircraft Accident Investigation Bureau,https://www.bea.cg/,bea.cg,
government_agency,Bank of Central African States,https://www.beac.int,beac.int,local
government_agency,"Embassy of Germany, Brazzaville",https://brazzaville.diplo.de,brazzaville.diplo.de,central
government_agency,Youth Advisory Council,https://www.ccj-congo.cg,ccj-congo.cg,
government_agency,"Embassy of France, Brazzaville",https://cg.ambafrance.org/,cg.ambafrance.org,central
government_agency,embassy of the United States in the Republic of Congo,https://cg.usembassy.gov,cg.usembassy.gov,central
government_agency,Institut de Recherche pour le Développement,http://www.congo.ird.fr/,congo.ird.fr,
government_agency,embassy of Russia in Republic of the Congo,https://congo.mid.ru,congo.mid.ru,central
ministry,"Ministry of Foreign Affairs, Francophonie and Congolese Abroad",https://diplobrazza.net/,diplobrazza.net,
government_agency,"Ministry of Foreign Affairs, Francophonie and Congolese Abroad",https://diplobrazza.net/,diplobrazza.net,
government_agency,Delegation of the European Union to Congo,https://eeas.europa.eu/delegations/congo-brazzaville_en,eeas.europa.eu,
ministry,Q138766330,https://www.finances.gouv.cg,finances.gouv.cg,
government_agency,Q138766330,https://www.finances.gouv.cg,finances.gouv.cg,
ministry,Q139836464,https://www.hydrocarbures.gouv.cg/,hydrocarbures.gouv.cg,
government_agency,Q139836464,https://www.hydrocarbures.gouv.cg/,hydrocarbures.gouv.cg,
ministry,Q138754653,https://www.meppsa.org/,meppsa.org,
government_agency,Q138754653,https://www.meppsa.org/,meppsa.org,
government_agency,Consulate General of France in Pointe-Noire,https://pointe-noire.consulfrance.org/,pointe-noire.consulfrance.org,
ministry,Q138711324,https://postetelecom.gouv.cg/,postetelecom.gouv.cg,
government_agency,Q138711324,https://postetelecom.gouv.cg/,postetelecom.gouv.cg,
government_agency,Senate,https://www.senat.cg/,senat.cg,central
university,Marien Ngouabi University,http://www.umng.cg/,umng.cg,university
