subdomain,parent_domain,http_status
armeedelair.gouv.dj,gouv.dj,"SSL certificate problem: unable to get local issuer certificate"
autodiscover.gouv.dj,gouv.dj,"Connection timed out after 3000 milliseconds"
backend-evisa.gouv.dj,gouv.dj,"200"
backend-evisagoubet.gouv.dj,gouv.dj,"SSL: no alternative certificate subject name matches target hostname 'backend-evisagoubet.gouv.dj'"
backend-evisanouveau.gouv.dj,gouv.dj,"Could not resolve host: backend-evisanouveau.gouv.dj"
budget.gouv.dj,gouv.dj,"SSL certificate problem: unable to get local issuer certificate"
catis-dev.gouv.dj,gouv.dj,"Connection timed out after 3001 milliseconds"
cert.gouv.dj,gouv.dj,"200"
cpanel.travail.gouv.dj,gouv.dj,"Could not resolve host: cpanel.travail.gouv.dj"
cpcalendars.travail.gouv.dj,gouv.dj,"Could not resolve host: cpcalendars.travail.gouv.dj"
cpcontacts.travail.gouv.dj,gouv.dj,"Could not resolve host: cpcontacts.travail.gouv.dj"
douanes.gouv.dj,gouv.dj,"200"
e-cabinet.gouv.dj,gouv.dj,"Operation timed out after 3000 milliseconds with 0 bytes received"
e-gouv.dj,gouv.dj,"200"
e-permishabitat.gouv.dj,gouv.dj,"200"
enregistrement-delegation.gouv.dj,gouv.dj,"200"
evisav2.gouv.dj,gouv.dj,"200"
gouv.dj,gouv.dj,"Could not resolve host: gouv.dj"
import-email.gouv.dj,gouv.dj,"TLS connect error: error:0A000438:SSL routines::tlsv1 alert internal error"
interieur.gouv.dj,gouv.dj,"200"
mail-gtw1.gouv.dj,gouv.dj,"Connection timed out after 3002 milliseconds"
mail-gtw2.gouv.dj,gouv.dj,"Connection timed out after 3000 milliseconds"
mail-server.gouv.dj,gouv.dj,"Connection timed out after 3001 milliseconds"
mail.e-gouv.dj,gouv.dj,"Connection timed out after 3002 milliseconds"
mail.gouv.dj,gouv.dj,"404"
mail.mefip.gouv.dj,gouv.dj,"Connection timed out after 3002 milliseconds"
mail.police-nationale.gouv.dj,gouv.dj,"Could not resolve host: mail.police-nationale.gouv.dj"
mail.travail.gouv.dj,gouv.dj,"Could not resolve host: mail.travail.gouv.dj"
meet.gouv.dj,gouv.dj,"SSL certificate problem: self-signed certificate in certificate chain"
mefip.gouv.dj,gouv.dj,"Could not resolve host: mefip.gouv.dj"
ministerebudget.gouv.dj,gouv.dj,"Connection timed out after 3002 milliseconds"
mpgpt.gouv.dj,gouv.dj,"SSL certificate problem: certificate has expired"
rnpp.gouv.dj,gouv.dj,"200"
sensibilisation-cniplc.gouv.dj,gouv.dj,"200"
siged.gouv.dj,gouv.dj,"Connection timed out after 3001 milliseconds"
sipref.gouv.dj,gouv.dj,"Connection timed out after 3002 milliseconds"
siprefback.gouv.dj,gouv.dj,"Connection timed out after 3002 milliseconds"
siprefbdd.gouv.dj,gouv.dj,"Connection timed out after 3002 milliseconds"
siprefcdn.gouv.dj,gouv.dj,"Could not resolve host: siprefcdn.gouv.dj"
snc.gouv.dj,gouv.dj,"TLS connect error: error:0A000438:SSL routines::tlsv1 alert internal error"
snis-dhis2.gouv.dj,gouv.dj,"302"
sormas.gouv.dj,gouv.dj,"Connection timed out after 3002 milliseconds"
suivi-covid.gouv.dj,gouv.dj,"404"
travail.gouv.dj,gouv.dj,"SSL certificate problem: unable to get local issuer certificate"
verification-education.gouv.dj,gouv.dj,"200"
webconf.gouv.dj,gouv.dj,"Connection timed out after 3002 milliseconds"
webdisk.travail.gouv.dj,gouv.dj,"Could not resolve host: webdisk.travail.gouv.dj"
webmail.gouv.dj,gouv.dj,"200"
webmail.travail.gouv.dj,gouv.dj,"Could not resolve host: webmail.travail.gouv.dj"
www.budget.gouv.dj,gouv.dj,"Could not resolve host: www.budget.gouv.dj"
www.decentralisation.gouv.dj,gouv.dj,"301"
www.e-gouv.dj,gouv.dj,"200"
www.evisa-admin.gouv.dj,gouv.dj,"Could not resolve host: www.evisa-admin.gouv.dj"
www.evisa-admission.gouv.dj,gouv.dj,"200"
www.evisa-admissiongoubet.gouv.dj,gouv.dj,"SSL certificate problem: self-signed certificate"
www.evisa-admissionnouv.gouv.dj,gouv.dj,"Could not resolve host: www.evisa-admissionnouv.gouv.dj"
www.evisa.gouv.dj,gouv.dj,"301"
www.evisagoubet.gouv.dj,gouv.dj,"SSL certificate problem: self-signed certificate"
www.evisanouv.gouv.dj,gouv.dj,"Could not resolve host: www.evisanouv.gouv.dj"
www.gouv.dj,gouv.dj,"Could not resolve host: www.gouv.dj"
www.ministerebudget.gouv.dj,gouv.dj,"Connection timed out after 3001 milliseconds"
www.sante.gouv.dj,gouv.dj,"301"
www.travail.gouv.dj,gouv.dj,"Could not resolve host: www.travail.gouv.dj"
