type,label,website,hostname,level
government_agency,General Chemical State Laboratory,https://www.aade.gr/en/gcsl,aade.gr,
government_agency,Athens Chamber of Commerce and Industry,http://www.acci.gr/acci/Home/tabid/28/language/en-US/Default.aspx,acci.gr,
government_agency,Q55400550,https://acsmi.gr/,acsmi.gr,
government_agency,National Transparency Authority,https://aead.gr/en/,aead.gr,
government_agency,National Transparency Authority,https://aead.gr/,aead.gr,
government_agency,Court of Cassation,http://www.areiospagos.gr/,areiospagos.gr,central
government_agency,Ephorate of Antiquities of Argolida,https://www.argolisculture.gr/,argolisculture.gr,
government_agency,Hellenic Army General Staff,https://army.gr,army.gr,
government_agency,Supreme Council for Personnel Selection,https://www.asep.gr/,asep.gr,
government_agency,Special Guards,"https://www.astynomia.gr/elliniki-astynomia/anthropino-dynamiko/eidikoi-frouroi/#:~:text=%CE%9F%CE%B9%20%CE%95%CE%B9%CE%B4%CE%B9%CE%BA%CE%BF%CE%AF%20%CE%A6%CF%81%CE%BF%CF%85%CF%81%CE%BF%CE%AF%20%CE%B5%CE%BA%CF%84%CE%B5%CE%BB%CE%BF%CF%8D%CE%BD%20%CE%BA%CE%B1%CE%B8%CE%AE%CE%BA%CE%BF%CE%BD%CF%84%CE%B1,%CE%AE%20%CF%89%CF%82%20%CE%B5%CE%B8%CE%B5%CE%BB%CE%BF%CE%BD%CF%84%CF%8E%CE%BD%20%CF%80%CE%B5%CE%BD%CF%84%CE%B1%CE%B5%CF%84%CE%BF%CF%8D%CF%82%20%CF%85%CF%80%CE%BF%CF%87%CF%81%CE%AD%CF%89%CF%83%CE%B7%CF%82.",astynomia.gr,
government_agency,Special Guards,https://www.astynomia.gr/hellenic-police/human-resources/special-guards/?lang=en,astynomia.gr,
government_agency,Cyber Crime Unit,https://www.astynomia.gr/elliniki-astynomia/eidikes-ypiresies/diefthynsi-dioxis-ilektronikou-egklimatos/,astynomia.gr,
government_agency,Hellenic Police,https://www.astynomia.gr,astynomia.gr,
government_agency,"Embassy of Romania, Athens",https://atena.mae.ro/,atena.mae.ro,central
government_agency,"Embassy of Slovenia, Athen",http://www.atene.veleposlanistvo.si/,atene.veleposlanistvo.si,central
government_agency,"Hungarian embassy, Athen",https://athen.mfa.gov.hu/,athen.mfa.gov.hu,central
government_agency,embassy of Luxembourg in Greece,https://athenes.mae.lu,athenes.mae.lu,central
government_agency,embassy of Qatar in Greece,https://athens.embassy.qa,athens.embassy.qa,central
government_agency,European Parliament Liaison Office in Greece,https://athens.europarl.europa.eu,athens.europarl.europa.eu,central
