subdomain,mx
agence-adoption.fr,0 agenceadoption-fr01e.mail.protection.outlook.com.
agence-biomedecine.fr,100 mx3.mail.ovh.net.; 1 mx1.mail.ovh.net.; 5 mx2.mail.ovh.net.
arcep.fr,5 mx62.cloud.vadesecure.com.; 5 mx61.cloud.vadesecure.com.; 5 mx64.cloud.vadesecure.com.; 5 mx63.cloud.vadesecure.com.
banque-france.fr,10 mail1.banque-france.fr.; 10 mail10.banque-france.fr.; 10 mail20.banque-france.fr.; 10 mail2.banque-france.fr.
bnf.fr,20 maputo.bnf.fr.
cefil.fr,100 volga.over-link.net.; 10 gange.over-link.net.
cepii.fr,10 mx02.cloud.vadesecure.com.; 10 mx04.cloud.vadesecure.com.; 10 mx03.cloud.vadesecure.com.; 10 mx01.cloud.vadesecure.com.
cna-alimentation.fr,50 fb.mail.gandi.net.; 10 spool.mail.gandi.net.
cned.fr,10 smtp.cned.fr.
cnes.fr,10 mx10.cnes.fr.; 10 mx20.cnes.fr.
cnmss.fr,10 prolix.cnmss.fr.; 20 prolix-2.cnmss.fr.
defense-mobilite.fr,10 spool.mail.gandi.net.; 50 fb.mail.gandi.net.
dgesip.fr,1 mx4.mail.ovh.net.; 10 mx3.mail.ovh.net.
dilcrah.fr,none
dondorganes.fr,100 mx3.mail.ovh.net.; 1 mx1.mail.ovh.net.; 5 mx2.mail.ovh.net.
e-socialdesarmees.fr,10 mx3.mail.ovh.net.; 1 mx4.mail.ovh.net.
ecole-air-espace.fr,0 ecoleairespace-fr01cc.mail.protection.outlook.com.
ecoledespupillesdelair.fr,0 mail.ecoledespupillesdelair.fr.
ecpad.fr,100 mx.ecpad.fr.; 10 mx.ecpad.fr.
education.fr,10 mx02.phm.education.gouv.fr.; 0 mx01.phm.education.gouv.fr.
eetaa722.fr,100 mx3.mail.ovh.net.; 1 mx1.mail.ovh.net.; 5 mx2.mail.ovh.net.
francearchives.fr,10 spool.mail.gandi.net.; 50 fb.mail.gandi.net.
hcsp.fr,10 mail.hcsp.fr.
igesa.fr,0 igesa-fr.mail.protection.outlook.com.
ihedn.fr,5 ihedn.mailinblack.com.; 100 mx0.mailinblack.com.
info-militaire.fr,10 mx00.ionos.fr.; 10 mx01.ionos.fr.
inria.fr,10 mail3-smtp-sop.national.inria.fr.; 10 mail2-smtp-roc.national.inria.fr.
insee.fr,30 heimdall2.insee.fr.; 20 freyja.insee.fr.; 10 heimdall.insee.fr.; 40 freyja2.insee.fr.
insep.fr,20 vade-mx-eu-fallback01.hornetsecurity.com.; 10 vade-mx-fr02.hornetsecurity.com.; 20 vade-mx-eu-fallback02.hornetsecurity.com.; 10 vade-mx-fr01.hornetsecurity.com.
invalides.fr,5 heimdall.invalides.fr.; 10 mail.invalides.fr.
ird.fr,10 mx2.relay.renater.fr.; 10 mx1.relay.renater.fr.
irsem.fr,10 mx00.ionos.fr.; 10 mx01.ionos.fr.
minint.fr,5 mx.mailbox.orange-business.com.
msa.fr,10 msa-fr.mail.protection.outlook.com.
musee-armee.fr,0 museearmee-fr01c.mail.protection.outlook.com.
onac-vg.fr,10 mail.mymail.eu.com.
onpv.fr,none
oqali.fr,0 mx1.relay.renater.fr.; 0 mx2.relay.renater.fr.
orientation-pour-tous.fr,50 fb.mail.gandi.net.; 10 spool.mail.gandi.net.
parcoursup.fr,0 mail.parcoursup.fr.
parlons-fin-de-vie.fr,1 mx4.mail.ovh.net.; 10 mx3.mail.ovh.net.
securite-sociale.fr,0 securitesociale-fr02b.mail.protection.outlook.com.
sengager.fr,5 alt2.aspmx.l.google.com.; 1 aspmx.l.google.com.; 10 aspmx3.googlemail.com.; 5 alt1.aspmx.l.google.com.; 10 aspmx2.googlemail.com.
