type,label,website,hostname,level
government_agency,"Embassy of France, Monaco",http://www.ambafrance-mc.org/,ambafrance-mc.org,central
supreme_court,National Council,https://www.conseil-national.mc/,conseil-national.mc,central
parliament,National Council,https://www.conseil-national.mc/,conseil-national.mc,central
government_agency,National Council,https://www.conseil-national.mc/,conseil-national.mc,central
government_agency,Directorate of Cultural Affairs,https://culture.mc/,culture.mc,
government_agency,Heritage Institute,https://culture.mc/en/cultural-figures/les-acteurs-professionnels-de-la-culture/prince-s-government/institut-du-patrimoine,culture.mc,
government_agency,Heritage Institute,https://culture.mc/acteurs-de-la-culture/les-acteurs-professionnels-de-la-culture/services-culturels-du-gouvernement-princier/institut-du-patrimoine,culture.mc,
government_agency,Directorate of Cultural Affairs,https://culture.mc/en,culture.mc,
government_agency,Q16643758,http://www.imsee.mc,imsee.mc,central
government_agency,Communal Council of Monaco,http://www.mairie.mc/mairie-monaco/le-conseil-communal/,mairie.mc,central-1
government_agency,Louis Notari Library,https://www.mediatheque.mc/,mediatheque.mc,
