subdomain,http_status
abeyaindrafil.gov.lb,Could not resolve host: abeyaindrafil.gov.lb
access.cdr.gov.lb,403
achache.gov.lb,Could not resolve host: achache.gov.lb
admin.tmo.gov.lb,Could not resolve host: admin.tmo.gov.lb
admin2.tmo.gov.lb,Could not resolve host: admin2.tmo.gov.lb
agriculture.gov.lb,200
ainebel.gov.lb,Could not resolve host: ainebel.gov.lb
aineldelb.gov.lb,Operation timed out after 3001 milliseconds with 0 bytes received
aisd2019.army.gov.lb,Could not resolve host: aisd2019.army.gov.lb
aley.gov.lb,200
anteliasnaccache.gov.lb,500
antoura.gov.lb,SSL: no alternative certificate subject name matches target hostname 'antoura.gov.lb'
api.tmo.gov.lb,Could not resolve host: api.tmo.gov.lb
api2.tmo.gov.lb,Could not resolve host: api2.tmo.gov.lb
apiovh.tmo.gov.lb,Could not resolve host: apiovh.tmo.gov.lb
app.lebarmy.gov.lb,TLS connect error: error:0A000458:SSL routines::tlsv1 unrecognized name
apps.finance.gov.lb,Connection timed out after 3002 milliseconds
ar.app.lebarmy.gov.lb,Connection timed out after 3002 milliseconds
ardeh.gov.lb,Could not resolve host: ardeh.gov.lb
autodiscover.abeyaindrafil.gov.lb,Could not resolve host: autodiscover.abeyaindrafil.gov.lb
autodiscover.achache.gov.lb,Could not resolve host: autodiscover.achache.gov.lb
autodiscover.agriculture.gov.lb,302
autodiscover.aineldelb.gov.lb,Failed to connect to autodiscover.aineldelb.gov.lb port 443 after 207 ms: Could not connect to server
autodiscover.antoura.gov.lb,Could not resolve host: autodiscover.antoura.gov.lb
autodiscover.batha.gov.lb,SSL: no alternative certificate subject name matches target hostname 'autodiscover.batha.gov.lb'
autodiscover.batroun.gov.lb,Could not resolve host: autodiscover.batroun.gov.lb
autodiscover.beirutairport.gov.lb,Could not resolve host: autodiscover.beirutairport.gov.lb
autodiscover.biakout.gov.lb,Could not resolve host: autodiscover.biakout.gov.lb
autodiscover.bourjhammoud.gov.lb,Could not resolve host: autodiscover.bourjhammoud.gov.lb
autodiscover.cc.gov.lb,Could not resolve host: autodiscover.cc.gov.lb
autodiscover.chatine.gov.lb,Could not resolve host: autodiscover.chatine.gov.lb
autodiscover.councilforsouth.gov.lb,400
autodiscover.dawlati.gov.lb,Could not resolve host: autodiscover.dawlati.gov.lb
autodiscover.dreibalawsat.gov.lb,Could not resolve host: autodiscover.dreibalawsat.gov.lb
autodiscover.eeway.gov.lb,Could not resolve host: autodiscover.eeway.gov.lb
autodiscover.finance.gov.lb,SSL certificate problem: unable to get local issuer certificate
autodiscover.ghazir.gov.lb,Could not resolve host: autodiscover.ghazir.gov.lb
autodiscover.greenplan.gov.lb,Could not resolve host: autodiscover.greenplan.gov.lb
autodiscover.habbouch.gov.lb,Could not resolve host: autodiscover.habbouch.gov.lb
autodiscover.hcp.gov.lb,Could not resolve host: autodiscover.hcp.gov.lb
autodiscover.jadra.gov.lb,Could not resolve host: autodiscover.jadra.gov.lb
autodiscover.jdeidetmarjeyoun.gov.lb,Could not resolve host: autodiscover.jdeidetmarjeyoun.gov.lb
autodiscover.jieh.gov.lb,SSL: no alternative certificate subject name matches target hostname 'autodiscover.jieh.gov.lb'
autodiscover.joureteltermos.gov.lb,Could not resolve host: autodiscover.joureteltermos.gov.lb
autodiscover.kfarchima.gov.lb,Could not resolve host: autodiscover.kfarchima.gov.lb
autodiscover.khencharajouar.gov.lb,TLS connect error: error:0A000438:SSL routines::tlsv1 alert internal error
autodiscover.muhafazamountlebanon.gov.lb,Could not resolve host: autodiscover.muhafazamountlebanon.gov.lb
autodiscover.ogero.gov.lb,Could not resolve host: autodiscover.ogero.gov.lb
autodiscover.urbcomfayhaa.gov.lb,Could not resolve host: autodiscover.urbcomfayhaa.gov.lb
autodiscover.womenaffairs.gov.lb,Could not resolve host: autodiscover.womenaffairs.gov.lb
autodiscover.zgharta.gov.lb,Failed to connect to autodiscover.zgharta.gov.lb port 443 after 289 ms: Could not connect to server
barja.gov.lb,403
bater.gov.lb,Could not resolve host: bater.gov.lb
batha.gov.lb,SSL: no alternative certificate subject name matches target hostname 'batha.gov.lb'
batlounmunicipality.gov.lb,Could not resolve host: batlounmunicipality.gov.lb
batroun.gov.lb,Could not resolve host: batroun.gov.lb
bazbina.gov.lb,Could not resolve host: bazbina.gov.lb
bcharri.gov.lb,Could not resolve host: bcharri.gov.lb
beirutairport.gov.lb,200
beirutsummit.gov.lb,Connection timed out after 3002 milliseconds
beta.biakout.gov.lb,Could not resolve host: beta.biakout.gov.lb
beta.rayfoun.gov.lb,Could not resolve host: beta.rayfoun.gov.lb
bh-hubcas1.ogero.gov.lb,Could not resolve host: bh-hubcas1.ogero.gov.lb
biakout.gov.lb,Could not resolve host: biakout.gov.lb
bourjhammoud.gov.lb,SSL certificate problem: self-signed certificate
bsaba.gov.lb,Could not resolve host: bsaba.gov.lb
buh.gov.lb,200
buildtechbox.saida.gov.lb,Could not resolve host: buildtechbox.saida.gov.lb
caa.gov.lb,Operation timed out after 3000 milliseconds with 0 bytes received
cc.gov.lb,302
ces.gov.lb,Could not resolve host: ces.gov.lb
chatine.gov.lb,Could not resolve host: chatine.gov.lb
chebaa.gov.lb,Could not resolve host: chebaa.gov.lb
chekka.gov.lb,Could not resolve host: chekka.gov.lb
clu.gov.lb,200
cma.gov.lb,301
cnss.gov.lb,302
collector.finance.gov.lb,Connection timed out after 3001 milliseconds
councilforsouth.gov.lb,301
cpanel.abeyaindrafil.gov.lb,Could not resolve host: cpanel.abeyaindrafil.gov.lb
cpanel.achache.gov.lb,Could not resolve host: cpanel.achache.gov.lb
cpanel.aineldelb.gov.lb,Could not resolve host: cpanel.aineldelb.gov.lb
cpanel.antoura.gov.lb,Could not resolve host: cpanel.antoura.gov.lb
cpanel.barja.gov.lb,Could not resolve host: cpanel.barja.gov.lb
cpanel.bater.gov.lb,Could not resolve host: cpanel.bater.gov.lb
cpanel.batha.gov.lb,SSL: no alternative certificate subject name matches target hostname 'cpanel.batha.gov.lb'
cpanel.batroun.gov.lb,Could not resolve host: cpanel.batroun.gov.lb
cpanel.beirutairport.gov.lb,Could not resolve host: cpanel.beirutairport.gov.lb
cpanel.biakout.gov.lb,Could not resolve host: cpanel.biakout.gov.lb
cpanel.bourjhammoud.gov.lb,SSL certificate problem: self-signed certificate
cpanel.cc.gov.lb,Could not resolve host: cpanel.cc.gov.lb
cpanel.ces.gov.lb,Could not resolve host: cpanel.ces.gov.lb
cpanel.chatine.gov.lb,Could not resolve host: cpanel.chatine.gov.lb
cpanel.clu.gov.lb,Could not resolve host: cpanel.clu.gov.lb
