type,label,website,hostname,level
ministry,Ministry of Agriculture and Livestock (Libya),https://www.agriculture.gov.ly,agriculture.gov.ly,
ministry,Ministry of Justice (Libya),http://aladel.gov.ly/,aladel.gov.ly,
ministry,Ministry of Justice (Libya),https://csc.gov.ly/en/portfolio/ministry-of-justice/,csc.gov.ly,
ministry,Ministry of Defence,https://csc.gov.ly/en/portfolio/ministry-of-defense/,csc.gov.ly,
ministry,Ministry of Foreign Affairs and International Cooperation of the State of Libya,http://www.foreign.gov.ly/ar/index.php#,foreign.gov.ly,
constitutional_court,Government of National Unity,https://gnu.gov.ly/,gnu.gov.ly,central
ministry,Ministry of Higher Education and Scientific Research,http://www.highereducation.gov.ly/,highereducation.gov.ly,
ministry,Ministry of Defence,https://www.mod.gov.ly/,mod.gov.ly,
ministry,Ministry of Internal Affairs of Libya,https://moi.gov.ly/,moi.gov.ly,
parliament,House of Representatives,https://parliament.ly,parliament.ly,central
supreme_court,House of Representatives,https://parliament.ly,parliament.ly,central
