subdomain,parent_domain,http_status,mx
academia.digital.gob.cl,gob.cl,Could not resolve host: academia.digital.gob.cl,none
accesoeac.dgac.gob.cl,gob.cl,Could not resolve host: accesoeac.dgac.gob.cl,none
achipia.gob.cl,gob.cl,301,0 achipia-gob-cl.mail.protection.outlook.com.
acreditaciones.minrel.gob.cl,gob.cl,Could not resolve host: acreditaciones.minrel.gob.cl,none
aerosig.dgac.gob.cl,gob.cl,Failed to connect to aerosig.dgac.gob.cl port 443 after 636 ms: Could not connect to server,none
afis.dgac.gob.cl,gob.cl,Could not resolve host: afis.dgac.gob.cl,none
agenciaorienta.gob.cl,gob.cl,200,none
agendalaboral.gob.cl,gob.cl,Connection timed out after 3001 milliseconds,none
agroseguros.gob.cl,gob.cl,SSL certificate problem: unable to get local issuer certificate,0 agroseguros-gob-cl.mail.protection.outlook.com.
aipchile.gob.cl,gob.cl,Could not resolve host: aipchile.gob.cl,none
api.beta.datos.gob.cl,gob.cl,Could not resolve host: api.beta.datos.gob.cl,none
api.cnr.gob.cl,gob.cl,200,none
api.datos.gob.cl,gob.cl,Could not resolve host: api.datos.gob.cl,none
api.desarrolladores.datos.gob.cl,gob.cl,Could not resolve host: api.desarrolladores.datos.gob.cl,none
api.superdesalud.gob.cl,gob.cl,Could not resolve host: api.superdesalud.gob.cl,none
apostilla.gob.cl,gob.cl,301,none
app.fondos.gob.cl,gob.cl,200,none
appqa.dgac.gob.cl,gob.cl,Connection timed out after 3001 milliseconds,none
apps.cifes.gob.cl,gob.cl,Could not resolve host: apps.cifes.gob.cl,none
apps.isl.gob.cl,gob.cl,Could not resolve host: apps.isl.gob.cl,none
appvidente.hospitalantofagasta.gob.cl,gob.cl,Could not resolve host: appvidente.hospitalantofagasta.gob.cl,none
atencionciudadana.minvu.gob.cl,gob.cl,Could not resolve host: atencionciudadana.minvu.gob.cl,none
autoconsulta.extranjeria.gob.cl,gob.cl,SSL: no alternative certificate subject name matches target hostname 'autoconsulta.extranjeria.gob.cl',none
